,point_code,VOCs,CO2,H2,O2,H2S,HCHO,NH3,CH4,Radon,FG_C12O,FG_AlkB,FG_prmA,geometry,Point_ID,FG,All_indicators_Scores,CH4_Score,CO2_Score,H2S_Score,H2_Score,O2_Score,Radon_Score,The_other_soil_gas_scores,VOCs_Score,Contamination_type,Scope_of_contamination,color
25,LX-121,0.62,0.0031,10.0,20.2,0.0,1.07,0.0,0.0,,,,,POINT (1490363.2788627644 5147551.490134917),LX-121,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
26,LX-122,2.24,0.0032,10.0,20.2,0.0,4.09,0.0,0.0,,,,,POINT (1490625.6474519195 5147657.088292982),LX-122,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
27,LX-123,0.38,0.0013,20.0,20.9,0.0,4.56,0.0,0.0,,,,,POINT (1490631.350027496 5147685.311358829),LX-123,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
28,LX-124,0.62,0.0015,10.0,20.7,0.0,4.04,0.0,0.0,,,,,POINT (1490638.2819581889 5147629.27432324),LX-124,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
29,LX-125,0.45,0.0052,60.0,20.3,0.0,8.18,2.0,0.0,,,,,POINT (1490647.134751876 5147608.95254131),LX-125,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
30,LX-126,0.52,0.0037,10.0,20.1,0.0,2.81,0.0,0.0,,,,,POINT (1490656.163549257 5147582.260742945),LX-126,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
31,LX-127,0.57,0.0037,40.0,20.3,0.0,7.54,0.0,0.0,,,,,POINT (1490677.310763239 5147589.095985252),LX-127,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
32,LX-128,0.54,0.0076,160.0,20.2,0.0,9.99,0.0,0.0,,,,,POINT (1490626.0580393604 5147548.8064699555),LX-128,,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,Scores<6,1,orange
33,LX-129,0.49,0.0048,50.0,20.4,0.6,9.99,1.0,0.0,,,,,POINT (1490622.787720365 5147561.074065009),LX-129,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
34,LX-13,0.66,0.0064,320.0,20.1,2.6,9.99,1.0,0.0,,954887.1214543614,3965775937.508156,6625.090853861857,POINT (1490711.875273431 5147483.523795655),LX-13,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
35,LX-130,0.77,0.0048,40.0,20.4,0.0,7.16,1.0,0.0,,,,,POINT (1490489.7646211367 5147542.101312028),LX-130,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
36,LX-131,0.34,0.0063,70.0,20.4,0.7,9.99,1.0,0.0,,,,,POINT (1490468.8058059514 5147505.009796149),LX-131,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
37,LX-132,0.2,0.0,70.0,19.9,0.6,9.99,0.0,0.0,,,,,POINT (1490585.8365845163 5147480.015544976),LX-132,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
38,LX-133,0.14,0.0013,50.0,20.7,0.0,6.72,1.0,0.0,,,,,POINT (1490597.3790246202 5147482.7374281185),LX-133,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
39,LX-134,1.8,0.0029,40.0,20.3,0.0,7.18,0.0,0.0,,,,,POINT (1490610.6710055633 5147487.87460735),LX-134,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
40,LX-135,0.35,0.0009,60.0,20.5,0.6,9.45,1.0,0.0,,,,,POINT (1490589.7789831264 5147463.590326644),LX-135,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
41,LX-136,0.75,0.0217,120.0,18.6,1.6,9.99,1.0,0.0,43400.0,53307.08813729563,19034467.57308954,0.0,POINT (1490665.6270097205 5147492.079290228),LX-136,,,0.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,Scores<6,1,orange
42,LX-137,0.78,0.025,190.0,16.7,2.8,9.99,1.0,0.0,0.0,782312.1205218335,81471734.06619439,0.0,POINT (1490515.5478870808 5147678.936433271),LX-137,,,0.0,2.0,1.0,1.0,0.0,11.0,5.0,1.0,Scores<6,1,orange
43,LX-138,0.14,0.0149,10.0,18.6,0.0,1.63,0.0,0.0,,,,,POINT (1490461.280183962 5147659.914977735),LX-138,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
44,LX-139,0.24,0.0011,20.0,20.6,0.0,5.01,1.0,0.0,,,,,POINT (1490386.4430816572 5147625.195464144),LX-139,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
45,LX-14,0.18,0.003,20.0,20.2,0.0,2.81,1.0,0.0,,,,,POINT (1490700.021878913 5147514.464637927),LX-14,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
46,LX-140,0.71,0.0133,100.0,18.0,1.0,9.99,0.0,0.0,,,,,POINT (1490349.6365894482 5147611.986750544),LX-140,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
